Time,Quadrant Number,Ball Colour,Type
86.20859346528432,2,white,Entry
86.24187863650644,4,orange,Entry
86.24187863650644,4,green,Exit
86.24187863650644,3,yellow,Entry
86.24187863650644,2,white,Exit
86.27516380772856,4,orange,Entry
86.27516380772856,4,green,Exit
86.27516380772856,2,white,Entry
86.30844897895068,4,orange,Entry
86.30844897895068,4,green,Exit
86.30844897895068,2,white,Exit
86.3417341501728,1,orange,Entry
86.3417341501728,1,green,Exit
86.3417341501728,2,white,Entry
86.37501932139492,1,orange,Entry
86.37501932139492,1,green,Exit
86.37501932139492,2,white,Exit
86.40830449261703,1,orange,Entry
86.40830449261703,1,green,Exit
86.40830449261703,2,white,Entry
86.44158966383915,1,orange,Entry
86.44158966383915,1,green,Exit
86.44158966383915,2,white,Exit
86.47487483506127,1,orange,Entry
86.47487483506127,1,green,Exit
86.47487483506127,2,white,Entry
86.50816000628339,1,orange,Entry
86.50816000628339,1,green,Exit
86.50816000628339,2,white,Exit
86.54144517750551,1,orange,Entry
86.54144517750551,1,green,Exit
86.54144517750551,2,white,Entry
86.57473034872763,1,orange,Entry
86.57473034872763,1,green,Exit
86.57473034872763,2,white,Exit
86.60801551994973,1,orange,Entry
86.60801551994973,1,green,Exit
86.60801551994973,2,white,Entry
86.64130069117185,1,orange,Entry
86.64130069117185,1,green,Exit
86.64130069117185,2,yellow,Exit
86.64130069117185,2,white,Entry
86.67458586239397,1,orange,Entry
86.67458586239397,1,green,Exit
86.67458586239397,2,yellow,Exit
86.67458586239397,2,white,Entry
86.70787103361609,1,orange,Entry
86.70787103361609,1,green,Exit
86.70787103361609,2,yellow,Exit
86.70787103361609,2,white,Entry
86.7411562048382,1,orange,Entry
86.7411562048382,1,green,Exit
86.7411562048382,2,white,Exit
86.77444137606032,1,orange,Entry
86.77444137606032,1,green,Exit
86.77444137606032,2,white,Entry
86.80772654728244,1,orange,Entry
86.80772654728244,1,green,Exit
86.80772654728244,2,white,Exit
86.84101171850456,1,orange,Entry
86.84101171850456,1,green,Exit
86.84101171850456,2,white,Entry
86.87429688972668,3,orange,Exit
86.87429688972668,3,green,Entry
86.87429688972668,2,yellow,Exit
86.87429688972668,2,white,Entry
86.9075820609488,1,orange,Entry
86.9075820609488,1,green,Exit
86.9075820609488,2,yellow,Exit
86.9075820609488,2,white,Entry
86.94086723217092,1,orange,Entry
86.94086723217092,1,green,Exit
86.94086723217092,2,yellow,Exit
86.94086723217092,2,white,Entry
86.97415240339303,1,orange,Entry
86.97415240339303,1,green,Exit
86.97415240339303,2,white,Exit
87.00743757461515,1,orange,Entry
87.00743757461515,1,green,Exit
87.00743757461515,2,yellow,Entry
87.00743757461515,2,white,Exit
87.04072274583727,1,orange,Entry
87.04072274583727,1,green,Exit
87.04072274583727,2,yellow,Entry
87.04072274583727,2,white,Exit
87.07400791705938,1,orange,Entry
87.07400791705938,1,green,Exit
87.07400791705938,2,yellow,Entry
87.07400791705938,2,white,Exit
87.1072930882815,4,orange,Entry
87.1072930882815,4,green,Exit
87.1072930882815,2,yellow,Entry
87.1072930882815,2,white,Exit
87.14057825950361,4,orange,Entry
87.14057825950361,4,green,Exit
87.14057825950361,2,yellow,Entry
87.14057825950361,2,white,Exit
87.17386343072573,4,orange,Entry
87.17386343072573,4,green,Exit
87.17386343072573,2,yellow,Entry
87.17386343072573,2,white,Exit
87.20714860194785,4,orange,Entry
87.20714860194785,4,green,Exit
87.20714860194785,2,yellow,Entry
87.20714860194785,2,white,Exit
87.24043377316997,4,orange,Entry
87.24043377316997,4,green,Exit
87.24043377316997,2,white,Entry
87.27371894439209,4,orange,Entry
87.27371894439209,4,green,Exit
87.27371894439209,2,white,Exit
87.3070041156142,4,orange,Entry
87.3070041156142,4,green,Exit
87.3070041156142,4,yellow,Entry
87.3070041156142,2,white,Entry
